ID;Species;DBH_2015;DBH_2021;Diameter_Growth;Diameter_Growth_per_Year;Plot;Azimuth;Distance;Height_2015;Height_2021;Height_Increase;Height_Increase_per_Year;Crown_Base;Deadwood,,,,,,,
1018;Oak;25;25;0;0;1;95;15,5;25,8;26,1;0,3;0,18;8,3;,
1023;Beech;25;29;4;0,67;1;105;26,1;28,3;29;0,7;0,41;14,4;,
1025;Oak;25;27;2;0,33;1;105;33,1;26,3;27,4;1,1;0,65;13,5;
1006;Birke;26;26;;0;1;28;20,5;27,1;27,1;;;18,7;yes,,,
1081;Beech;26;28;2;0,33;1;300;24,4;26,8;30,1;3,3;1,94;1,4;
1001;Beech;27;29;2;0,33;1;10;29,8;29,1;30,9;1,8;1,06;15,2;
1078;Beech;27;29;2;0,33;1;307;22,9;28,2;33;4,8;2,82;2;,,
1091;Pine;27;27;0;0;1;252;24,4;23,9;33,9;10;5,88;10,9;,,
1075;Beech;28;30;2;0,33;1;242;11,7;27,8;28,6;0,8;0,47;12;,
1020;Fir;29;31;2;0,33;1;103;20;23,9;24,1;0,2;0,12;3,4;,
1027;Beech;29;29;0;0;1;112;23,6;27,4;27,9;0,5;0,29;10,5;,
1047;Beech;29;30;1;0,17;1;359;18,6;28,9;30,3;1,4;0,82;10;,
1102;Beech;29;29;0;0;1;202;17,7;27,1;29,6;2,5;1,47;9,7;,
1072;Beech;30;31;1;0,17;1;215;11,7;27,8;28,5;0,7;0,41;12,9;
1013;Fir;31;33;2;0,33;1;25;18,2;25,7;26,9;1,2;0,71;3,9;
1089;Pine;31;31;0;0;1;268;23,8;30,1;31;0,9;0,53;21,2;,,
1007;Beech;32;33;1;0,17;1;31;23,2;29,1;31,7;2,6;1,53;13,2;
1087;Beech;32;35;3;0,5;1;274;25,4;27,1;32,1;5;2,94;10,1;,
1031;Beech;33;33;0;0;1;140;21,7;30,6;31;0,4;0,24;12,9;,,
1095;Pine;33;34;1;0,17;1;227;15,6;30,2;30,8;0,6;0,35;21,3;
1101;Pine;33;34;1;0,17;1;213;16,8;28,4;29,9;1,5;0,88;19,5;
1017;Beech;34;35;1;0,17;1;89;23,6;31,5;32;0,5;0,29;13,4;,
1028;Beech;34;34;0;0;1;120;21;27,4;28,1;0,7;0,41;9,3;,,
1050;Spruce;34;34;;0;1;345;22,5;32,7;32,7;;;14,4;yes,,,
1064;Beech;34;36;2;0,33;1;163;15,1;28,7;29,7;1;0,59;8,2;,
1059;Pine;35;36;1;0,17;1;235;4,4;27,4;28,6;1,2;0,71;19,6;
1105;Beech;35;37;2;0,33;1;190;19,5;28;29,2;1,2;0,71;11,4;,
1045;Beech;36;38;2;0,33;1;7;13,6;29,9;32,2;2,3;1,35;7,4;
1048;Spruce;36;37;1;0,17;1;347;17,5;33;34;1;0,59;15,6;,,,
1003;Spruce;37;39;2;0,33;1;10;24,2;31;33;2;1,18;19,1;,,,
1039;Spruce;37;37;0;0;1;75;8,3;28,4;30,5;2,1;1,24;19,6;,
1011;Beech;38;39;1;0,17;1;45;15,7;30;31,2;1,2;0,71;12;,,
1016;Beech;38;39;1;0,17;1;87;20,6;29,3;30,4;1,1;0,65;12;,
1021;Beech;38;39;1;0,17;1;97;27,3;29,6;30;0,4;0,24;9,3;,
1036;Beech;38;40;2;0,33;1;116;11,1;31;34,1;3,1;1,82;10;,,
1049;Spruce;38;42;4;0,67;1;341;20,3;33;33,4;0,4;0,24;19,7;,
1090;Pine;38;39;1;0,17;1;263;18,2;25,7;28,1;2,4;1,41;21,3;
1107;Beech;38;40;2;0,33;1;203;25,9;30,1;32,4;2,3;1,35;16;,
1026;Beech;39;39;0;0;1;113;26,9;29,4;30,4;1;0,59;13,8;,,
1062;Pine;40;40;0;0;1;169;9,4;27,4;28,4;1;0,59;21,2;,,
1066;Beech;40;43;3;0,5;1;167;19,5;28,5;32,7;4,2;2,47;8,5;
1042;Spruce;41;;;0;1;5;5,4;32,7;;;;;,,,,,
1094;Beech;41;43;2;0,33;1;234;20,1;30,5;31,5;1;0,59;13,9;,
1104;Larch;41;42;1;0,17;1;194;16,9;28,6;29,9;1,3;0,76;20,6;
1082;Beech;42;45;3;0,5;1;300;26,5;30,1;34,5;4,4;2,59;8,4;
1035;Beech;43;43;0;0;1;132;14,5;29,4;31,9;2,5;1,47;8,7;,
1004;Beech;45;48;3;0,5;1;20;25;32,7;35,6;2,9;1,71;13,2;,
1002;Spruce;46;50;4;0,67;1;6;28,7;32,9;33,9;1;0,59;14,4;,
1033;Larch;46;48;2;0,33;1;153;18,4;31;32,2;1,2;0,71;20,5;,
1038;Beech;46;48;2;0,33;1;92;7,7;31,3;34,1;2,8;1,65;9,9;
1041;Spruce;47;49;2;0,33;1;39;6,7;34,1;35,3;1,2;0,71;9,5;
1009;Beech;48;48;0;0;1;52;22;31,7;33,8;2,1;1,24;17,2;,,
1098;Beech;50;53;3;0,5;1;218;22;31;34,2;3,2;1,88;14,1;,,
1015;Beech;51;54;3;0,5;1;75;20,8;30,7;31,3;0,6;0,35;8,7;
1077;Beech;52;56;4;0,67;1;265;11,2;29,9;34,5;4,6;2,71;10,8;
1044;Spruce;54;54;0;0;1;341;10,4;32,2;34,2;2;1,18;12,5;,,
1051;Spruce;54;57;3;0,5;1;352;22,8;34,9;36,2;1,3;0,76;17,8;
1019;Fir;55;60;5;0,83;1;101;15,1;32,9;34,6;1,7;1;19,5;,
1055;Spruce;55;;;0;1;320;23,8;32,6;;;;;,,,,,
1057;Beech;55;59;4;0,67;1;294;10,1;33;36,3;3,3;1,94;1,1;,
1012;Fir;73;74;1;0,17;1;53;14;34,3;35,7;1,4;0,82;20,1;,
