ID;Species;DBH_2015;DBH_2021;Diameter_Growth;Diameter_Growth_per_Year;Plot;Azimuth;Distance;Height_2015;Height_2021;Height_Increase;Height_Increase_per_Year;Crown_Base;Deadwood,,,,,,,
1071;Beech;7;7;0;0;1;191;12,5;10,4;10,6;0,2;0,12;2,9;,
1073;Beech;7;7;0;0;1;229;10,6;4,8;4,8;0;0;1,1;,,,
1096;Beech;7;8;1;0,17;1;230;20,8;11,2;11,6;0,4;0,24;1,3;
1109;Beech;7;7;0;0;1;195;30,2;11,1;13,3;2,2;1,29;1,5;,
1068;Beech;8;8;0;0;1;175;22,1;12,7;13;0,3;0,18;3,4;,,
1086;Beech;8;9;1;0,17;1;276;25,4;10;10;0;0;1,3;,,,,
1108;Beech;8;8;0;0;1;200;28,1;6,1;7,8;1,7;1;1,6;,,
1040;Beech;9;10;1;0,17;1;59;5,9;10,6;11,4;0,8;0,47;1,5;
1056;Beech;9;11;2;0,33;1;328;17,2;10;12,7;2,7;1,59;1,3;,
1099;Beech;9;9;0;0;1;214;19,4;13;13;0;0;1,4;,,,,,
1029;Beech;10;10;;0;1;126;26;12,5;12,5;;;1,8;yes,,,,
1032;Beech;10;10;0;0;1;145;18,5;10,2;10,7;0,5;0,29;1,2;,
1065;Beech;10;10;0;0;1;165;18,4;8,3;8,3;0;0;1,3;,,,
1067;Beech;10;10;0;0;1;169;19,6;14,6;14,8;0,2;0,12;1,2;,
1076;Beech;10;10;0;0;1;255;13;9,4;9,4;0;0;1,2;,,,,
1084;Beech;10;10;0;0;1;283;21,6;10,7;11,9;1,2;0,71;2;,,
1088;Beech;10;11;1;0,17;1;272;23,9;12,3;12,9;0,6;0,35;1,4;
1106;Beech;10;10;0;0;1;202;24,1;14,9;16,6;1,7;1;1,2;,,
1022;Beech;11;11;0;0;1;103;25,5;15,2;15,7;0,5;0,29;1,3;,
1037;Beech;11;12;1;0,17;1;97;8,8;14,9;15,1;0,2;0,12;2,1;
1063;Beech;11;12;1;0,17;1;172;13,7;15,6;16,1;0,5;0,29;11,6;
1070;Beech;12;12;0;0;1;183;15;17,5;19,1;1,6;0,94;2,6;,,
1079;Beech;12;13;1;0,17;1;311;23,2;17,1;18,3;1,2;0,71;1,6;
1083;Beech;12;14;2;0,33;1;295;24,2;15;16,3;1,3;0,76;1,3;,
1085;Beech;13;14;1;0,17;1;279;24,5;16,6;18,4;1,8;1,06;3,9;
1008;Beech;14;14;0;0;1;42;21,5;13,9;13,9;0;0;1,4;,,,
1024;Beech;14;14;0;0;1;106;30,5;17,3;20,2;2,9;1,71;2,5;,
1058;Beech;14;17;3;0,5;1;222;1,5;15,3;15,8;0,5;0,29;1,1;
1097;Beech;14;15;1;0,17;1;225;19,8;20,4;21,1;0,7;0,41;1,1;
1100;Beech;14;14;0;0;1;225;19,8;19,1;19,9;0,8;0,47;1,5;,
1080;Beech;15;18;3;0,5;1;315;24,3;18,3;21,2;2,9;1,71;1,9;
1103;Beech;15;15;0;0;1;205;21,1;20,2;20,4;0,2;0,12;1,4;,
1010;Beech;16;17;1;0,17;1;50;19,2;20,8;21,7;0,9;0,53;1,5;
1052;Beech;16;17;1;0,17;1;358;22,2;18,2;19;0,8;0,47;2,5;,
1053;Beech;16;19;3;0,5;1;335;21,7;17,8;19,4;1,6;0,94;1,6;
1060;Beech;16;16;0;0;1;235;7,1;21,6;22,7;1,1;0,65;1,4;,
1093;Beech;16;16;0;0;1;235;19,2;17,5;18,1;0,6;0,35;2,4;,
1074;Beech;17;17;0;0;1;238;11,5;19,7;20,2;0,5;0,29;1,4;,
1030;Beech;18;19;1;0,17;1;142;22,6;20,8;22,2;1,4;0,82;5,3;
1046;Beech;18;18;0;0;1;3;16,2;21,8;23,8;2;1,18;2,3;,,
1005;Fir;19;19;0;0;1;24;20,5;23,3;25;1,7;1;5,9;,,,
1034;Beech;19;20;1;0,17;1;155;15;26,2;26,8;0,6;0,35;13,4;,
1111;Beech;19;20;1;0,17;1;185;26,9;26;26;0;0;1,4;,,,,
1112;Beech;19;21;2;0,33;1;187;25;25,8;26;0,2;0,12;1,3;,,
1014;Fir;20;20;0;0;1;78;14,3;18,6;18,6;0;0;4,4;,,,
1092;Beech;20;21;1;0,17;1;242;18,7;17,1;20,7;3,6;2,12;2;,
1054;Spruce;21;;;0;1;338;23,1;22,5;;;;;,,,,,
1069;Beech;21;21;0;0;1;177;20,1;22,8;24;1,2;0,71;8,4;,,
1061;Beech;23;24;1;0,17;1;185;9,9;25,6;26,1;0,5;0,29;11,3;
1110;Pine;23;23;;0;1;189;31,1;22,5;22,5;;;17,4;yes,,,
1043;Spruce;24;25;1;0,17;1;345;7,7;26,6;27,7;1,1;0,65;11,9;
