ID;Species;DBH_2015;DBH_2021;Diameter_Growth;Diameter_Growth_per_Year;Plot;Azimuth;Distance;Height_2015;Height_2021;Height_Increase;Height_Increase_per_Year;Crown_Base;Deadwood
3002;Beech;16;19;3;0,5;3;16;26,7;16,6;17,6;1;0,17;5,6;
3012;Beech;16;19;3;0,5;3;21;18,4;21,5;23,9;2,4;0,4;5,9;
3035;Beech;16;18;2;0,33;3;95;15,5;19,6;20,8;1,2;0,2;12,6;
3068;Beech;16;18;2;0,33;3;265;6,9;19,5;20,8;1,3;0,22;1,9;
3103;Beech;16;17;1;0,17;3;220;23;19,6;21;1,4;0,23;1,6;
3123;Beech;16;16;0;0;3;177;12,9;20;21;1;0,17;1;
3005;Beech;17;19;2;0,33;3;31;21,7;16,4;23,8;7,4;1,23;7,2;
3051;Beech;17;19;2;0,33;3;89;5;22,1;23;0,9;0,15;1,3;
3053;Beech;17;21;4;0,67;3;7;5,8;18,5;22,3;3,8;0,63;2,3;
3107;Beech;17;18;1;0,17;3;199;29,4;20,4;21,5;1,1;0,18;2,4;
3036;Beech;18;19;1;0,17;3;93;15,5;18,9;19,4;0,5;0,08;9;
3096;Oak;18;19;1;0,17;3;245;12,8;22,2;24,5;2,3;0,38;17,2;
3122;Beech;18;18;0;0;3;172;11,8;21,1;22,8;1,7;0,28;4,1;
3010;Beech;19;20;1;0,17;3;30;18;24,7;27,7;3;0,5;13,6;
3018;Spruce;19;;;;3;39;12,2;21,7;;;;;
3080;Beech;19;20;1;0,17;3;274;23,1;29,1;31,1;2;0,33;17,5;
3033;Spruce;20;20;;0;3;106;20,2;19,5;19,5;0;0;13,4;1
3083;Beech;20;20;0;0;3;262;22,5;27;27,6;0,6;0,1;17;
3090;Beech;20;21;1;0,17;3;243;22,3;22,8;24,5;1,7;0,28;11,5;
3063;Beech;21;24;3;0,5;3;311;17,3;24,5;26;1,5;0,25;14,2;
3019;Beech;22;27;5;0,83;3;73;15,9;21,4;26,4;5;0,83;3,6;
3085;Beech;22;22;0;0;3;268;14,6;21,8;23,6;1,8;0,3;3,6;
3014;Beech;24;28;4;0,67;3;14;21,8;26,9;31,2;4,3;0,72;10,7;
3065;Beech;24;28;4;0,67;3;285;6,1;27,5;30,6;3,1;0,52;1,5;
3088;Fir;24;25;1;0,17;3;253;16,2;27,9;31;3,1;0,52;10;
3045;Beech;25;27;2;0,33;3;133;19,7;27,8;29,9;2,1;0,35;2;
3073;Oak;25;25;0;0;3;302;26,4;24,4;26,4;2;0,33;14;
3098;Beech;25;27;2;0,33;3;235;8,8;25,7;27,6;1,9;0,32;4,2;
3070;Beech;26;29;3;0,5;3;305;17,4;27,8;29;1,2;0,2;9;
3075;Oak;26;27;1;0,17;3;298;24,6;26,3;27,6;1,3;0,22;18;
3062;Fir;27;29;2;0,33;3;312;22,8;23,9;24,5;0,6;0,1;15,6;
3101;Fir;27;28;1;0,17;3;192;13;23,7;25,6;1,9;0,32;12,8;
3121;Beech;27;29;2;0,33;3;168;13,9;27,2;28,6;1,4;0,23;12,4;
3021;Pine;28;28;0;0;3;71;23,9;27,7;28,1;0,4;0,07;22,7;
3026;Beech;28;29;1;0,17;3;105;31,4;26,9;29,6;2,7;0,45;8,4;
3009;Beech;29;32;3;0,5;3;33;18,4;29,3;33;3,7;0,62;12,3;
3093;Oak;29;31;2;0,33;3;235;17,6;28,6;30,5;1,9;0,32;15,1;
3104;Beech;29;30;1;0,17;3;224;23,5;27,8;32,8;5;0,83;11,8;
3027;Beech;30;34;4;0,67;3;116;28,9;26,9;28,8;1,9;0,32;7,7;
3029;Beech;30;34;4;0,67;3;111;26;26,6;28,6;2;0,33;8,9;
3058;Beech;30;32;2;0,33;3;337;23;28,4;30,4;2;0,33;6,5;
3069;Oak;30;31;1;0,17;3;284;13,4;26,7;28,5;1,8;0,3;14,9;
3084;Beech;30;31;1;0,17;3;264;19,4;29;32,6;3,6;0,6;17,7;
3108;Beech;31;32;1;0,17;3;201;30,3;25,4;27;1,6;0,27;9;
3111;Beech;31;32;1;0,17;3;191;26,1;28,2;29,4;1,2;0,2;12;
3102;Beech;32;34;2;0,33;3;214;20,5;28,5;32,1;3,6;0,6;9,8;
3089;Larch;33;35;2;0,33;3;247;22,3;30,4;34,4;4;0,67;22,8;
3013;Beech;34;39;5;0,83;3;23;16,3;30,9;32,4;1,5;0,25;8,4;
3016;Spruce;34;37;3;0,5;3;62;20,8;30,8;32,6;1,8;0,3;16,5;
3059;Beech;34;36;2;0,33;3;329;22,5;29,6;32,6;3;0,5;14;
3100;Fir;34;38;4;0,67;3;195;11,6;28,7;30,5;1,8;0,3;12,5;
3109;Beech;34;34;;0;3;192;31;29,4;29,4;0;0;9,9;1
3124;Beech;34;35;1;0,17;3;160;9,2;27,7;33,5;5,8;0,97;13,9;
3004;Spruce;35;38;3;0,5;3;26;26,1;28,5;30,3;1,8;0,3;19,7;
3031;Pine;35;37;2;0,33;3;129;24,4;31,1;32,2;1,1;0,18;21,7;
3041;Beech;35;37;2;0,33;3;101;11,5;29,7;32;2,3;0,38;13,8;
3046;Beech;35;37;2;0,33;3;150;17,2;28;30,9;2,9;0,48;11,6;
3049;Beech;35;37;2;0,33;3;140;8,2;29,8;32,1;2,3;0,38;13,8;
3076;Beech;35;35;0;0;3;283;20,4;30,9;32,4;1,5;0,25;14,9;
3086;Fir;35;39;4;0,67;3;256;19,3;29,6;31,7;2,1;0,35;20,1;
3114;Beech;35;37;2;0,33;3;191;20,2;29,4;32,6;3,2;0,53;9,5;
3022;Beech;36;38;2;0,33;3;81;21,8;27,8;29,3;1,5;0,25;9,2;
3020;Pine;37;37;0;0;3;68;19;30,8;33,6;2,8;0,47;21,8;
3044;Beech;37;38;1;0,17;3;115;15;31,7;33,6;1,9;0,32;10,6;
3106;Larch;37;37;0;0;3;202;27,9;30,1;31,3;1,2;0,2;21,8;
3047;Oak;38;38;;0;3;128;12,7;30,4;30,4;0;0;13,9;1
3077;Beech;38;38;0;0;3;275;27,1;27,2;32,8;5,6;0,93;9,7;
3052;Beech;40;40;0;0;3;81;6,5;29,5;34,7;5,2;0,87;12,5;
3099;Beech;40;43;3;0,5;3;181;4,8;31,2;34,2;3;0,5;11,3;
3112;Pine;40;42;2;0,33;3;200;20;33,4;35,2;1,8;0,3;24,3;
3116;Beech;40;43;3;0,5;3;182;22,8;30,7;33,8;3,1;0,52;14;
3011;Larch;42;45;3;0,5;3;26;19;33,4;35,6;2,2;0,37;23,2;
3037;Beech;42;44;2;0,33;3;94;14,4;34,4;39,6;5,2;0,87;14,3;
3066;Beech;42;47;5;0,83;3;306;3,8;29,9;33;3,1;0,52;10,2;
3024;Spruce;43;45;2;0,33;3;95;18,7;31,3;33,9;2,6;0,43;21,2;
3057;Spruce;43;47;4;0,67;3;338;19,6;33,5;36,7;3,2;0,53;23,3;
3006;Larch;44;47;3;0,5;3;34;22,9;29,6;31,6;2;0,33;21,4;
3094;Fir;44;50;6;1;3;245;15,7;32,2;37,3;5,1;0,85;22,9;
3055;Larch;46;46;0;0;3;343;11,8;34;36;2;0,33;21,5;
3081;Beech;46;47;1;0,17;3;268;23,7;31;33,1;2,1;0,35;12,7;
3025;Spruce;48;48;;0;3;85;24,6;30,3;30,3;0;0;15,5;1
3110;Spruce;48;48;0;0;3;188;29,3;30,4;33,4;3;0,5;18,9;
3067;Larch;49;50;1;0,17;3;239;5,3;30,4;34,2;3,8;0,63;22,2;
3056;Spruce;50;52;2;0,33;3;347;13,5;32,3;34,3;2;0,33;18,6;
3017;Spruce;51;;;;3;55;13,3;32,2;;;;;
3032;Spruce;54;56;2;0,33;3;113;20,6;29,5;31,9;2,4;0,4;16,3;
3071;Spruce;59;60;1;0,17;3;297;16,9;33,4;35,6;2,2;0,37;21,2;
3061;Fir;62;67;5;0,83;3;317;24,2;33;38,1;5,1;0,85;20,2;
3001;Spruce;64;73;9;1,5;3;12;31,7;35,3;38,9;3,6;0,6;19,7;
3097;Larch;64;66;2;0,33;3;231;10,4;34,3;37,8;3,5;0,58;21,6;
