ID;Species;DBH_2015;DBH_2021;Diameter_Growth;Diameter_Growth_per_Year;Plot;Azimuth;Distance;Height_2015;Height_2021;Height_Increase;Height_Increase_per_Year;Crown_Base;Deadwood
3003;Beech;7;9;2;0,33;3;16;26,5;8,1;10,1;2;0,33;2,4;
3028;Beech;7;8;1;0,17;3;110;26,3;9,3;9,5;0,2;0,03;1,9;
3072;Beech;7;7;0;0;3;303;18,1;7;7,9;0,9;0,15;1,2;
3074;Spruce;7;8;1;0,17;3;308;26,1;6,1;6,2;0,1;0,02;2,1;
3008;Beech;8;8;0;0;3;38;22,3;4,4;4,4;0;0;1;
3078;Beech;8;8;0;0;3;274;27,4;14,9;15,1;0,2;0,03;1;
3091;Beech;8;8;0;0;3;243;22,5;14;14,4;0,4;0,07;2,1;
3043;Beech;9;9;0;0;3;114;14,2;10,3;10,6;0,3;0,05;1,3;
3064;Beech;9;12;3;0,5;3;319;14,6;12,4;14,5;2,1;0,35;2;
3105;Beech;9;10;1;0,17;3;200;23,2;12,7;13,3;0,6;0,1;1,6;
3030;Spruce;10;12;2;0,33;3;123;26,7;11,9;12,3;0,4;0,07;6;
3117;Beech;10;10;0;0;3;182;23,8;13,2;13,2;0;0;2;
3119;Beech;10;10;0;0;3;176;22,7;17,2;18,4;1,2;0,2;9,3;
3060;Beech;11;12;1;0,17;3;326;20,9;10,3;10,8;0,5;0,08;2,4;
3082;Beech;11;12;1;0,17;3;264;24,3;16,5;16,8;0,3;0,05;1,3;
3015;Beech;12;15;3;0,5;3;46;19,6;17,2;20,8;3,6;0,6;1,7;
3092;Beech;12;14;2;0,33;3;237;20,5;18,2;19,4;1,2;0,2;1;
3113;Beech;12;14;2;0,33;3;194;17,8;20,4;21,8;1,4;0,23;6,3;
3023;Beech;13;13;0;0;3;86;17,9;18,8;14;-4,8;;2,3;
3048;Beech;13;13;0;0;3;142;10,4;15,9;16,5;0,6;0,1;1,5;
3095;Beech;13;15;2;0,33;3;236;15;19;21,2;2,2;0,37;8;
3007;Beech;14;17;3;0,5;3;37;23,2;20,6;22,2;1,6;0,27;7,5;
3038;Beech;14;14;;0;3;90;12;19,1;19,1;0;0;1,5;1
3040;Beech;14;14;;0;3;79;11,8;21,5;21,5;0;0;1,1;1
3042;Beech;14;15;1;0,17;3;102;12,7;19,4;20,3;0,9;0,15;7,9;
3050;Beech;14;16;2;0,33;3;111;7,2;21;22,5;1,5;0,25;7,6;
3079;Beech;14;14;0;0;3;274;25,7;13,9;14,7;0,8;0,13;2;
3087;Beech;14;14;0;0;3;254;16,2;18,9;19,3;0,4;0,07;1,4;
3034;Beech;15;15;0;0;3;106;19,6;19,9;20,6;0,7;0,12;1,3;
3039;Beech;15;15;;0;3;83;11,3;21,1;21,1;0;0;1,3;1
3054;Beech;15;16;1;0,17;3;350;12,6;11,4;14,3;2,9;0,48;1,7;
3115;Beech;15;15;;0;3;186;21;21,3;21,3;0;0;11,6;1
3118;Beech;15;16;1;0,17;3;178;24,7;19,9;21;1,1;0,18;2,4;
3120;Beech;15;17;2;0,33;3;168;22,7;22,9;23,7;0,8;0,13;6,4;
