ID;Species;DBH_2015;DBH_2021;Diameter_Growth;Diameter_Growth_per_Year;Plot;Azimuth;Distance;Height_2015;Height_2021;Height_Increase;Height_Increase_per_Year;Crown_Base;Deadwood,,,,,,,
4115;Beech;23;25;2;0,33;4;290;24,7;22,7;25,5;2,8;0,47;6,1;
4116;Pine;25;;;;4;287;27,5;26,6;;;;21,6;,,,,
4117;Pine;40;40;0;0,00;4;285;25,5;30,5;31,6;1,1;0,18;23;,
4118;Beech;31;35;4;0,67;4;279;29,3;25,7;31,5;5,8;0,97;11,5;
4119;Beech;26;29;3;0,50;4;275;24,3;26,3;29,6;3,3;0,55;5,4;
4120;Pine;40;40;0;0,00;4;278;22,4;29,2;33,7;4,5;0,75;21,1;
4121;Beech;15;15;0;0,00;4;287;20,8;19,6;21,8;2,2;0,37;3,1;
4122;Beech;32;34;2;0,33;4;278;18,3;26,4;29,3;2,9;0,48;10,2;
4123;Pine;30;30;0;0,00;4;265;14,5;26;27,3;1,3;0,22;19,2;,
4124;Spruce;33;37;4;0,67;4;270;18;28,4;30,3;1,9;0,32;11,1;,
